imbalance_scenario,sample_size,seed,model,metric,value
(50:50),40,0,SVM,Accuracy,0.75
(50:50),40,0,SVM,F1_score,0.7272727272727273
(50:50),40,0,SVM,Sensitivity,0.6666666666666666
(50:50),40,0,SVM,Specificity,0.8333333333333334
(50:50),40,0,SVM,ROC_AUC,0.8055555555555556
(50:50),40,0,SVM,PR_AUC,0.7166666666666667
(50:50),40,0,SVM,Balanced_Accuracy,0.75
(50:50),40,0,SVM,MCC,0.50709255283711
(50:50),40,0,RandomForest,Accuracy,0.75
(50:50),40,0,RandomForest,F1_score,0.7692307692307693
(50:50),40,0,RandomForest,Sensitivity,0.8333333333333334
(50:50),40,0,RandomForest,Specificity,0.6666666666666666
(50:50),40,0,RandomForest,ROC_AUC,0.8611111111111112
(50:50),40,0,RandomForest,PR_AUC,0.8968253968253967
(50:50),40,0,RandomForest,Balanced_Accuracy,0.75
(50:50),40,0,RandomForest,MCC,0.50709255283711
(50:50),40,0,LogisticRegression,Accuracy,0.6666666666666666
(50:50),40,0,LogisticRegression,F1_score,0.7142857142857143
(50:50),40,0,LogisticRegression,Sensitivity,0.8333333333333334
(50:50),40,0,LogisticRegression,Specificity,0.5
(50:50),40,0,LogisticRegression,ROC_AUC,0.75
(50:50),40,0,LogisticRegression,PR_AUC,0.744047619047619
(50:50),40,0,LogisticRegression,Balanced_Accuracy,0.6666666666666667
(50:50),40,0,LogisticRegression,MCC,0.3535533905932738
(50:50),40,0,MLP,Accuracy,0.8333333333333334
(50:50),40,0,MLP,F1_score,0.8571428571428571
(50:50),40,0,MLP,Sensitivity,1.0
(50:50),40,0,MLP,Specificity,0.6666666666666666
(50:50),40,0,MLP,ROC_AUC,0.888888888888889
(50:50),40,0,MLP,PR_AUC,0.8972222222222221
(50:50),40,0,MLP,Balanced_Accuracy,0.8333333333333333
(50:50),40,0,MLP,MCC,0.7071067811865476
(50:50),40,1,SVM,Accuracy,0.8333333333333334
(50:50),40,1,SVM,F1_score,0.8
(50:50),40,1,SVM,Sensitivity,0.6666666666666666
(50:50),40,1,SVM,Specificity,1.0
(50:50),40,1,SVM,ROC_AUC,0.888888888888889
(50:50),40,1,SVM,PR_AUC,0.9107142857142856
(50:50),40,1,SVM,Balanced_Accuracy,0.8333333333333333
(50:50),40,1,SVM,MCC,0.7071067811865476
(50:50),40,1,RandomForest,Accuracy,0.8333333333333334
(50:50),40,1,RandomForest,F1_score,0.8333333333333334
(50:50),40,1,RandomForest,Sensitivity,0.8333333333333334
(50:50),40,1,RandomForest,Specificity,0.8333333333333334
(50:50),40,1,RandomForest,ROC_AUC,0.9444444444444445
(50:50),40,1,RandomForest,PR_AUC,0.9583333333333333
(50:50),40,1,RandomForest,Balanced_Accuracy,0.8333333333333334
(50:50),40,1,RandomForest,MCC,0.6666666666666666
(50:50),40,1,LogisticRegression,Accuracy,0.75
(50:50),40,1,LogisticRegression,F1_score,0.6666666666666666
(50:50),40,1,LogisticRegression,Sensitivity,0.5
(50:50),40,1,LogisticRegression,Specificity,1.0
(50:50),40,1,LogisticRegression,ROC_AUC,0.9166666666666667
(50:50),40,1,LogisticRegression,PR_AUC,0.9305555555555556
(50:50),40,1,LogisticRegression,Balanced_Accuracy,0.75
(50:50),40,1,LogisticRegression,MCC,0.5773502691896257
(50:50),40,1,MLP,Accuracy,0.8333333333333334
(50:50),40,1,MLP,F1_score,0.8
(50:50),40,1,MLP,Sensitivity,0.6666666666666666
(50:50),40,1,MLP,Specificity,1.0
(50:50),40,1,MLP,ROC_AUC,1.0
(50:50),40,1,MLP,PR_AUC,1.0
(50:50),40,1,MLP,Balanced_Accuracy,0.8333333333333333
(50:50),40,1,MLP,MCC,0.7071067811865476
(50:50),40,3,SVM,Accuracy,0.8333333333333334
(50:50),40,3,SVM,F1_score,0.8333333333333334
(50:50),40,3,SVM,Sensitivity,0.8333333333333334
(50:50),40,3,SVM,Specificity,0.8333333333333334
(50:50),40,3,SVM,ROC_AUC,0.9166666666666667
(50:50),40,3,SVM,PR_AUC,0.9444444444444444
(50:50),40,3,SVM,Balanced_Accuracy,0.8333333333333334
(50:50),40,3,SVM,MCC,0.6666666666666666
(50:50),40,3,RandomForest,Accuracy,0.8333333333333334
(50:50),40,3,RandomForest,F1_score,0.8571428571428571
(50:50),40,3,RandomForest,Sensitivity,1.0
(50:50),40,3,RandomForest,Specificity,0.6666666666666666
(50:50),40,3,RandomForest,ROC_AUC,0.9861111111111112
(50:50),40,3,RandomForest,PR_AUC,0.976190476190476
(50:50),40,3,RandomForest,Balanced_Accuracy,0.8333333333333333
(50:50),40,3,RandomForest,MCC,0.7071067811865476
(50:50),40,3,LogisticRegression,Accuracy,0.9166666666666666
(50:50),40,3,LogisticRegression,F1_score,0.9230769230769231
(50:50),40,3,LogisticRegression,Sensitivity,1.0
(50:50),40,3,LogisticRegression,Specificity,0.8333333333333334
(50:50),40,3,LogisticRegression,ROC_AUC,0.8611111111111112
(50:50),40,3,LogisticRegression,PR_AUC,0.8178571428571427
(50:50),40,3,LogisticRegression,Balanced_Accuracy,0.9166666666666667
(50:50),40,3,LogisticRegression,MCC,0.8451542547285166
(50:50),40,3,MLP,Accuracy,0.8333333333333334
(50:50),40,3,MLP,F1_score,0.8333333333333334
(50:50),40,3,MLP,Sensitivity,0.8333333333333334
(50:50),40,3,MLP,Specificity,0.8333333333333334
(50:50),40,3,MLP,ROC_AUC,0.9166666666666667
(50:50),40,3,MLP,PR_AUC,0.9305555555555556
(50:50),40,3,MLP,Balanced_Accuracy,0.8333333333333334
(50:50),40,3,MLP,MCC,0.6666666666666666
(50:50),40,4,SVM,Accuracy,0.9166666666666666
(50:50),40,4,SVM,F1_score,0.9230769230769231
(50:50),40,4,SVM,Sensitivity,1.0
(50:50),40,4,SVM,Specificity,0.8333333333333334
(50:50),40,4,SVM,ROC_AUC,0.9166666666666667
(50:50),40,4,SVM,PR_AUC,0.9150793650793649
(50:50),40,4,SVM,Balanced_Accuracy,0.9166666666666667
(50:50),40,4,SVM,MCC,0.8451542547285166
(50:50),40,4,RandomForest,Accuracy,0.9166666666666666
(50:50),40,4,RandomForest,F1_score,0.9230769230769231
(50:50),40,4,RandomForest,Sensitivity,1.0
(50:50),40,4,RandomForest,Specificity,0.8333333333333334
(50:50),40,4,RandomForest,ROC_AUC,1.0
(50:50),40,4,RandomForest,PR_AUC,0.9999999999999999
(50:50),40,4,RandomForest,Balanced_Accuracy,0.9166666666666667
(50:50),40,4,RandomForest,MCC,0.8451542547285166
(50:50),40,4,LogisticRegression,Accuracy,0.75
(50:50),40,4,LogisticRegression,F1_score,0.8
(50:50),40,4,LogisticRegression,Sensitivity,1.0
(50:50),40,4,LogisticRegression,Specificity,0.5
(50:50),40,4,LogisticRegression,ROC_AUC,0.9722222222222223
(50:50),40,4,LogisticRegression,PR_AUC,0.976190476190476
(50:50),40,4,LogisticRegression,Balanced_Accuracy,0.75
(50:50),40,4,LogisticRegression,MCC,0.5773502691896257
(50:50),40,4,MLP,Accuracy,0.8333333333333334
(50:50),40,4,MLP,F1_score,0.8571428571428571
(50:50),40,4,MLP,Sensitivity,1.0
(50:50),40,4,MLP,Specificity,0.6666666666666666
(50:50),40,4,MLP,ROC_AUC,1.0
(50:50),40,4,MLP,PR_AUC,1.0
(50:50),40,4,MLP,Balanced_Accuracy,0.8333333333333333
(50:50),40,4,MLP,MCC,0.7071067811865476
(50:50),40,5,SVM,Accuracy,0.75
(50:50),40,5,SVM,F1_score,0.6666666666666666
(50:50),40,5,SVM,Sensitivity,0.5
(50:50),40,5,SVM,Specificity,1.0
(50:50),40,5,SVM,ROC_AUC,0.9722222222222223
(50:50),40,5,SVM,PR_AUC,0.976190476190476
(50:50),40,5,SVM,Balanced_Accuracy,0.75
(50:50),40,5,SVM,MCC,0.5773502691896257
(50:50),40,5,RandomForest,Accuracy,0.8333333333333334
(50:50),40,5,RandomForest,F1_score,0.8
(50:50),40,5,RandomForest,Sensitivity,0.6666666666666666
(50:50),40,5,RandomForest,Specificity,1.0
(50:50),40,5,RandomForest,ROC_AUC,0.9444444444444445
(50:50),40,5,RandomForest,PR_AUC,0.9583333333333333
(50:50),40,5,RandomForest,Balanced_Accuracy,0.8333333333333333
(50:50),40,5,RandomForest,MCC,0.7071067811865476
(50:50),40,5,LogisticRegression,Accuracy,0.9166666666666666
(50:50),40,5,LogisticRegression,F1_score,0.9090909090909091
(50:50),40,5,LogisticRegression,Sensitivity,0.8333333333333334
(50:50),40,5,LogisticRegression,Specificity,1.0
(50:50),40,5,LogisticRegression,ROC_AUC,1.0
(50:50),40,5,LogisticRegression,PR_AUC,1.0
